linear_estimate,date
1.9297652,30mar2012
1.9162253,31mar2012
1.9028378,01apr2012
1.8896013,02apr2012
1.8765148,03apr2012
1.8635764,04apr2012
1.850785,05apr2012
1.8381388,06apr2012
1.8256372,07apr2012
1.8132783,08apr2012
1.8010606,09apr2012
1.7889832,10apr2012
1.7770444,11apr2012
1.7652432,12apr2012
1.7535779,13apr2012
1.7420478,14apr2012
1.730651,15apr2012
1.7193868,16apr2012
1.7082536,17apr2012
1.6972502,18apr2012
1.6863755,19apr2012
1.6756282,20apr2012
1.6650071,21apr2012
1.6545111,22apr2012
1.6441389,23apr2012
1.6338894,24apr2012
1.6237613,25apr2012
1.6137539,26apr2012
1.6038655,27apr2012
1.5940952,28apr2012
1.5844421,29apr2012
1.5749049,30apr2012
1.5654826,01may2012
1.5561738,02may2012
1.5469779,03may2012
1.5378937,04may2012
1.5289202,05may2012
1.5200562,06may2012
1.5113007,07may2012
1.5026529,08may2012
1.4941114,09may2012
1.4856758,10may2012
1.4773446,11may2012
1.4691174,12may2012
1.4609928,13may2012
1.4529699,14may2012
1.4450477,15may2012
1.4372255,16may2012
1.4295024,17may2012
1.4218775,18may2012
1.4143498,19may2012
1.4069184,20may2012
1.3995827,21may2012
1.3923415,22may2012
1.3851941,23may2012
1.3781396,24may2012
1.3711774,25may2012
1.3643066,26may2012
1.3575263,27may2012
1.3508357,28may2012
1.3442341,29may2012
1.3377206,30may2012
1.3312945,31may2012
1.324955,01jun2012
1.3187017,02jun2012
1.3125336,03jun2012
1.3064498,04jun2012
1.3004496,05jun2012
1.2945328,06jun2012
1.2886983,07jun2012
1.2829452,08jun2012
1.2772733,09jun2012
1.2716819,10jun2012
1.2661699,11jun2012
1.2607368,12jun2012
1.2553823,13jun2012
1.2501055,14jun2012
1.2449057,15jun2012
1.2397826,16jun2012
1.2347353,17jun2012
1.2297634,18jun2012
1.224866,19jun2012
1.2200432,20jun2012
1.2152936,21jun2012
1.2106173,22jun2012
1.2060131,23jun2012
1.2014809,24jun2012
1.1970202,25jun2012
1.1926304,26jun2012
1.1883107,27jun2012
1.1840612,28jun2012
1.1798806,29jun2012
1.175769,30jun2012
1.1717257,01jul2012
1.1677504,02jul2012
1.1638426,03jul2012
1.1600015,04jul2012
1.156227,05jul2012
1.1525185,06jul2012
1.1488756,07jul2012
1.1452976,08jul2012
1.1417847,09jul2012
1.1383359,10jul2012
1.1349511,11jul2012
1.1316297,12jul2012
1.1283716,13jul2012
1.1251763,14jul2012
1.122043,15jul2012
1.1189722,16jul2012
1.1159626,17jul2012
1.1130145,18jul2012
1.1101274,19jul2012
1.1073005,20jul2012
1.1045341,21jul2012
1.1018276,22jul2012
1.0991808,23jul2012
1.0965933,24jul2012
1.0940646,25jul2012
1.0915946,26jul2012
1.0891834,27jul2012
1.0868299,28jul2012
1.0845344,29jul2012
1.0822965,30jul2012
1.0801157,31jul2012
1.0779922,01aug2012
1.0759255,02aug2012
1.0739151,03aug2012
1.0719613,04aug2012
1.0700632,05aug2012
1.0682213,06aug2012
1.0664352,07aug2012
1.0647044,08aug2012
1.0630288,09aug2012
1.0614083,10aug2012
1.0598427,11aug2012
1.0583317,12aug2012
1.0568752,13aug2012
1.0554732,14aug2012
